aid,title,local_cover
3097,无法忘怀的魔女故事(无法忘却的魔女物语),csv/cover\3097.jpg
1778,御神乐学园组曲,csv/cover\1778.jpg
3089,海鸟东月的『荒唐事』,csv/cover\3089.jpg
3078,武士道系列,csv/cover\3078.jpg
2997,人类的时代结束了，但肚子还是会饿吗？,csv/cover\2997.jpg
3017,战翼的希格德莉法,csv/cover\3017.jpg
1414,魔法少女育成计划,csv/cover\1414.jpg
1500,LOVELIVE！School idol diary(校园偶像日记 μ’s活动日志),csv/cover\1500.jpg
1020,384403km 绑架你到月球,csv/cover\1020.jpg
2963,超次元游戏海王星：梦魇时刻？,csv/cover\2963.jpg
2945,成为女贤者的光秀待在女勇者信长的队伍里面浑身不自在,csv/cover\2945.jpg
2768,转生前是男的所以逆后宫容我拒绝,csv/cover\2768.jpg
2920,最后的蓝(End Blue),csv/cover\2920.jpg
2905,被百合夹击的女子有罪吗？(夹在百合中间的女人，有罪吗？),csv/cover\2905.jpg
2855,刀使巫女 琉球剑风录,csv/cover\2855.jpg
2828,降樱的小镇,csv/cover\2828.jpg
2845,乃木若叶是勇者(勇者部系列三),csv/cover\2845.jpg
2541,本田小狼与我,csv/cover\2541.jpg
1215,学生会侦探桐香,csv/cover\1215.jpg
2812,将这股温度称为你(我会将这份温暖称为你),csv/cover\2812.jpg
2471,带着外挂转生为公会柜台小姐,csv/cover\2471.jpg
2410,英雄转世为英雄之女目标再度成为英雄(重生英雄之女的英雄立志再度成为英雄),csv/cover\2410.jpg
2788,将放言说不会输的高颜值女孩，全力征服的百合故事,csv/cover\2788.jpg
2773,野花通信(野野小花通信),csv/cover\2773.jpg
2291,少女妄想中,csv/cover\2291.jpg
2482,终将成为你 关于佐伯沙弥香(终将成为你 佐伯沙弥香的追忆),csv/cover\2482.jpg
1610,舰队收藏(舰队Collection 阳炎，起锚！),csv/cover\1610.jpg
1845,合奏女孩！,csv/cover\1845.jpg
2689,冰川双子的生活,csv/cover\2689.jpg
2418,你好哇，暗杀者,csv/cover\2418.jpg
2306,Re:Stage！,csv/cover\2306.jpg
2661,相隔101米的爱恋,csv/cover\2661.jpg
2680,Everlasting,csv/cover\2680.jpg
2659,齿轮驱动,csv/cover\2659.jpg
2314,童话魔法使(原书·原书使),csv/cover\2314.jpg
2562,大和抚子向前冲！管它以后会怎样！,csv/cover\2562.jpg
2543,朋友以上侦探未满,csv/cover\2543.jpg
2496,幸会，食人鬼。,csv/cover\2496.jpg
2492,在世界终焉的花园,csv/cover\2492.jpg
2131,为了拯救世界的那一天─Qualidea Code─(为了终有一天能拯救世界),csv/cover\2131.jpg
2464,无法成为神明的少女,csv/cover\2464.jpg
2438,Cheers!爱的鼓励,csv/cover\2438.jpg
2431,她与我的末日旅行,csv/cover\2431.jpg
2138,OBSTACLE Series 激战的魔女之夜,csv/cover\2138.jpg
2235,四季之后4 cours after,csv/cover\2235.jpg
2300,虹色异星人,csv/cover\2300.jpg
1819,舰队收藏(舰队Collection 鹤翼之绊),csv/cover\1819.jpg
1577,妮娜与兔子与魔法战车,csv/cover\1577.jpg
1966,绯弹的亚莉亚AA(绯弹的亚里亚AA),csv/cover\1966.jpg
2099,Aster girl（紫菀少女）,csv/cover\2099.jpg
531,苍穹女武神(苍穹的驱真),csv/cover\531.jpg
583,菩提树庄的暗狩姬,csv/cover\583.jpg
1833,生存意义空想,csv/cover\1833.jpg
208,幽灵恋人,csv/cover\208.jpg
1609,月下魔女,csv/cover\1609.jpg
1751,樱神乐,csv/cover\1751.jpg
1698,幽灵列车与金平糖,csv/cover\1698.jpg
1677,少女与战车,csv/cover\1677.jpg
1674,蛮憨女侦探事件簿,csv/cover\1674.jpg
1642,天空的莉莉娅,csv/cover\1642.jpg
1643,傀儡师神乐,csv/cover\1643.jpg
1601,超次元游戏海王星,csv/cover\1601.jpg
1255,某僵尸少女的灾难,csv/cover\1255.jpg
677,神明大人会把笑心○○○？,csv/cover\677.jpg
1294,茜色交响曲,csv/cover\1294.jpg
1091,强袭魔女 乙女之章,csv/cover\1091.jpg
82,七姬物语,csv/cover\82.jpg
149,钢铁白兔骑士团,csv/cover\149.jpg
1156,STITCH裁缝少女,csv/cover\1156.jpg
1115,魔法少女小圆,csv/cover\1115.jpg
1021,侦探歌剧MilkyHomes～overture～,csv/cover\1021.jpg
301,简单易懂的现代魔法,csv/cover\301.jpg
972,如果杜拉(假如高中棒球部的女经理读了德鲁克的《管理学》),csv/cover\972.jpg
952,拜托了，莉莉丝,csv/cover\952.jpg
401,德鲁伊来啰!,csv/cover\401.jpg
60,糖果子弹,csv/cover\60.jpg
929,心生研究社,csv/cover\929.jpg
452,菖蒲的少女革命！,csv/cover\452.jpg
143,高中女神,csv/cover\143.jpg
203,战斗！暴风少女！,csv/cover\203.jpg
915,发明工坊 星降日记,csv/cover\915.jpg
251,魔学诡术士,csv/cover\251.jpg
298,卡莲坂高中可爱广播社,csv/cover\298.jpg
343,静流姐系列,csv/cover\343.jpg
349,BLACK SHEEP 圣夜迷途的黑羊,csv/cover\349.jpg
391,眼镜少女 HOLIC,csv/cover\391.jpg
444,幸运星官方小说,csv/cover\444.jpg
499,香草追击 A sweet partner,csv/cover\499.jpg
519,向阳素描 欢迎来到向阳庄,csv/cover\519.jpg
595,叛红猎杀,csv/cover\595.jpg
643,PiPit!!天线少女,csv/cover\643.jpg
655,simoun 祈舞,csv/cover\655.jpg
657,舞-HiME★DESTINY 龙之巫女,csv/cover\657.jpg
894,紫色的Qualia,csv/cover\894.jpg
577,强袭魔女,csv/cover\577.jpg
806,红线 绊之记忆,csv/cover\806.jpg
124,惊爆草莓,csv/cover\124.jpg
667,野花——在那花不开的世界,csv/cover\667.jpg
516,幸运星 悠闲的日子,csv/cover\516.jpg
486,最后的彼得潘,csv/cover\486.jpg
